Review,Cosin Similarity
"The charm of this movie comes from the setting of the main characters, showing a reflection of today's world, where Asian culture and the way of life in the west creates an environment of searching for one's own identity and place - this is where we meet Shang-Chi (Simu Liu) first. A young adult trying to navigate through his life far away from his family in the city of San Francisco. His partner in crime is his best female friend Katy (Awkwafina).Simu Liu's character arc in this film is not significant. Although he makes
a solid protagonist, his own character development is de minimis. Awkwafina, by contrast, steals the film as the ordinary person caught up in the epic power struggle. Her trademark zingers and bemused quips make her the perfect foil against the escapist superhero world that she- and we as the audience- are thrust into. Mandarin (Tony Leung Chiu-wai) is a subtly effective Marvel villain with a compelling family backstory; he is a cinematic antagonist with the most idealism and righteous sense of purpose since Bill the Butcher in ""Gangs of New York"".Michelle Yeoh as Shang-Chi's aunt Jiang Nan has again some great fighting scenes which stand up to her wonderful performance in ""Crouching Tiger, Hidden Dragon"". Overall this movie has great fighting scenes, extraordinary effects, especially the flying dragons which are delightful to watch. Highly recommended for everyone who likes superheroes and a touch of mysterious fairytales.",0.7211274786793167
"Lovely plot, great characters, awesome designs & costumes. As a martial artist fan I loved the fight choreography & stunts. They felt fresh and authentic.The mix between Martial Arts, Action, Fantasy & Drama was great. I was worried about the movie, when I watched the trailer. The CGI effects were amazing. Just felt like it didn't needed it. The movie got its own marvel flavor, when the cgi scenes took over.I had a lot of fun during watching. Specially the fighting scenes, action scenes and with a lovely humor.The acting was fantastic. Shang-Chi's character development was great just overshadowed by his fathers character in my opinion, cause the story of his father was somehow more interesting. The chemistry between Shang-Chi & Katy was the icing on the cake. So lovely and perfectly matches into the movie.This is the first Hollywood movie for Tony Leung. He did an amazing job.I think it's safe to say they did well to represent Asian culture on a big movie screen. I highly recommend this to every marvel fan. They did an outstanding job.",0.6811278845146835
"First thing first is the cast in Shang-Chi is excellent. Every performance is great and the chemistry between Shang and Katie is excellent. I am so glad the movie did not create a forced love-interest plot between the two friends. A few of the action sequences are good and better than what we received in Black Widow. The bus fight scene in the first third of the movie in particular is a standout.45 minutes into the movie when Shang-Chi is reunited with his father I was bored beyond belief until the last act of the movie. The film switches gears and continuously dumps exposition on the audience. Everything from here becomes the predictable hero needs to accept his true self story we have seen a million times. Which is a shame because the first act of the movie seemed so fresh from what we typically get with MCU movies. The fight in the last act, while entertaining, are the typical CGI mess found in marvel movies. The one on one between Shang and his father was genuinely emotional, but once you add all the CGI dragons/monsters it becomes a mind-numbing bore.Another thing that bothers me is the character development. Excellent performances aside none of the characters go through any deep growth. The story plays out exactly how you would expect with training montages, green screen vistas and humor ruining any moments of tension. For example, Katie seems to be unnecessarily dragged into everything, learns archery in a few hours, survives a vicious battle and hits the monster right in the neck from who knows how far away. It makes my eyes roll into the back of my head thinking about it. The same thing can be said about Shang's sister. The heart wrenching conflict between her and Shang is quickly resolved and there is no character development for her. It's all nonsense and I need a little more substance with my flashy action.All my gripes aside I was entertained in spurts watching Shang-Chi because of the chemistry between it's stars and some decent action scenes. Which makes it all the more frustrating that is falls into the typical MCU formula after it's first act. Marvel take some freaking risks with your story-telling please!",0.64880915778072
"When you thought the MCU pulled everything out of the closet. This movie has everything. Amazing special effects, good editing, deserved character development and an intriguing plot. This movie is a solid blockbuster and very aesthetically pleasing.The only bad thing about it was that at some point in the movie, it's enough. The ending felt like it was being dragged out.This is the best MCU origin story by FAR.",0.6477200035974423
"Shang-Chi has instantly entered my top 5 of Marvel movies. There is so much to adore about this movie. The visuals are beautiful, the villain is compelling, the last sequence isn't very predictable, as superhero movies can often be. The characters all have a level of depth that is often missing from the supporting characters in superhero movies, and I was pleased that they didn't marginalize Xialing as it would've been easy to do. I don't know much about the different disciplines of martial arts, but it seems very similar to Avatar: The Last Airbender in how they drew inspiration from different real world fighting styles for different fighters in the movie. If I compare the acting to the other movies I consider the best to produced by Marvel (Infinity War, Ragnarok, Winter Soldier, etc.), Shang-Chi is a notch below, but it blows every other Marvel movie out of the water when it comes to action and choreography. The bus scene in the first act has easily become my favorite sequence in any Marvel film. Origin films often fall into the same traps, but Shang-Chi doesn't, maybe because many didn't know much about the character. But even so, typical tropes like training sequences were done better in Shang-Chi, and the story didn't linger on his youth too much.",0.6112749816776155
"It's a decent movie. Happy that the comedic timing in certain scenes isn't overdone and it plays out to be a little more serious. The Mandarin in the movie by far the best acted out character and the choreography of the martial arts is on point. The movie is probably about 15 mins too long just when you think ""oh it's finishing up"" there's more. There is a notable difference in the second act with the story going more rapid and pacing is definitely the movies biggest flaw. Acting wise it's cool, nothing amazing or something you haven't seen before.If you're familiar with marvel it's the exact same model as some of the other movies with it being about family (Thor, Black Widow).Wanna have a good time with the family or just a decent watchable movie? This is one that you'll like.",0.6101778768735647
Just an another amazing movie brought by MCU with adding a new character to marvel universe. Overall fantastic movie with the point of view of storyline and action sequences which really are one of the best among all marvel movies till now. It is clearly visible by this movie that there's something big planned by MCU in future which would be amazing to watch. At last just watch this movie you will love it.,0.6101778768735646
"Shang-Chi and the Legend of the Ten Rings is very different from all previous Marvel movies, which is a good thing. I was a little worried at first that the film might not live up to the success Marvel pushed to give, but the film was actually spectacular and very entertaining. Good story, good acting, excellent character development, the action and choreography are outstanding, some funny moments, beautiful cinematography, and the VFX are a major step-up from previous Marvel films. This film was almost like the Aquaman of the MCU because it was a fun experience seeing it on the screen and presenting fans with something entirely new and unfamiliar. This movie is practically flawless. Can't wait to see Shang-Chi in future Marvel movies.",0.6016267534098217
"Just the poster alone says it all, the movie was great. Great writing, great character development, story, acting, villain, comedy and the best fights.Like I just wrote the story was great, maybe you can say AMAZING. All of the character development was awesome to see and really entertaining. It was not at all rushed in the direction and at the same time didn't it bore me.So save to say, it was one of the best non-avengers MCU movie for me. I would watch it again and maybe even three times after that.(sorry for my englis, I'm Russian (Taskmaster yk))",0.6004978428948143
"I once said after watching Black Panther, that it would be cool if there was an all Asian cast similar to it. There were some all Asian cast movies like Crazy Rich Asian (2018), but that is a romcom, and Mulan (2020), but that was bad. In comes Shang Chi which is the first Asian lead Superhero movie ever. The premise is ""Martial-arts master Shang-Chi (Simu Liu) confronts the past he thought he left behind when he's drawn into the web of the mysterious Ten Rings organization"". So does Shang Chi succeed in giving us a good all Asian cast big blockbuster or is it just another failed attempt?Firstly, the action sequences and choreography are some of the best from Marvel since Captain America and the Winter Soldier (2014). Martial arts are the focus of the action scenes in Shang Chi and they are beautifully choreographed. We get the classic wire-fu/floating style of Crouching Tiger but we also get some Jackie Chan style with the utilization of the environment for the action. Each action scene is memorable and stunning to watch. Additionally, the action scenes avoid using lots of cuts and shaky cam which I was so grateful for. It is also clear that the actors themselves rehearsed the choreography making the fights feel more believable and gratifying. It does become a more typical MCU action sequence by the third act but even that is still pretty enjoyable even if it isn't as good as the first two acts.The cinematography by Bill Pope (Matrix trilogy, Spiderman 2 and 3, Scott Pilgrim) is also excellent in Shang Chi. Skyscrapers and forests in Marvel movies have never looked as good as it has in Shang Chi. Bill pope and director Destin use the lighting and colours very effectively and allow for some genuinely beautiful shots. The music score by Joel P. West is also pretty good. Joel utilizes more electronic sounds and pop/rap songs for the scenes in the city but uses more traditional Asian instruments for the mystical areas. Joel's score captures the scene and the pop/rap songs themselves are also quite good albeit not as memorable as the Weeknd or Lamar from Black Panther. I also love the story and exploration of ""family"" with Shang Chi whilst not using Asian stereotypes. It also doesn't overuse humour like in Marvel's previous outing, Black Widow (2021), where they use jokes every couple of minutes and ruin a serious scene. Shang Chi thankfully avoids doing this, thus allowing the emotion of a scene to linger longer. There are still jokes though but they are genuinely quite funny.Furthermore, Simu Liu is charismatic, charming and cool as the titular character Shang Chi. I think Marvel succeeds again in the casting department as Simu Liu delivers on making me believe that this guy is a top tier martial artist. I also think Simu gives a good performance during the more emotional moments as well. His chemistry with Awkwafina who plays Shang Chi's friend Katy is great too. The banter between Shang Chi and Katy is some of the funniest scenes and makes me believe that those two were friends for years. However, Tony Leung who plays the main villain Wenwu (the real Mandarin) is the one that steals the show. Tony Leung is just phenomenal as he can convey the exact emotions of his character just through body language alone, it is just masterful acting. My biggest worry with MCU origin movies is that the villains are lacklustre but Shang Chi does not fall into this. Wenwu is very sympathetic but also extremely fearsome. He is also the father of Shang Chi which makes the conflict between them feel more meaningful and tragic. Wenwu is not a straight-up evil person as he does still have good in him and I like that.Unfortunately, Shang Chi suffers from having the 3 villain problem. Razorfist played by Florian is Wenwu's henchman and he doesn't get any backstory. I don't mind him that much though as he is mostly there to chase Shang Chi like a 007 henchman. There is also a scene where he does seem visibly worried about Wenwu's health which gives him some character depth. On the other hand, the 3rd villain Death Dealer who is a mysterious assassin of Wenwu is a massive disappointment. He looks very cool and visibly distinct from other ten ring members and is relevant to Shang Chi's past but amounts to absolutely nothing.Moreover, there is also a 3rd hero to Shang Chi and Katy with Shang Chi's sister Xialing played by Meng'er Zhang. She doesn't get enough interactions with Shang Chi, Katy or her father Wenwu and that feels like a waste. It's a shame as her interactions with both Shang Chi and Katy are enjoyable and she also doesn't interact with her dad Wenwu which is just a missed opportunity for her character. The movie also has a pacing issue as it slows down significantly in the second act. It just featured a lot of talking, exposition and flashbacks which I felt could have been cut down by a couple of minutes.Overall, Shang Chi and the Legend of the Ten Rings is the all Asian cast movie I have been waiting for. It delivers on the action, story and characters while being an exciting new addition to the MCU. I can't wait to see more of Shang Chi and finally get to see an Asian in the Avengers team.",0.6002067034025896
